dates,confirmed,deaths,recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,3,0,0
1/27/20,4,0,0
1/28/20,4,0,0
1/29/20,4,0,0
1/30/20,4,0,0
1/31/20,11,0,0
2/1/20,12,0,0
2/2/20,15,0,0
2/3/20,15,0,0
2/4/20,16,0,0
2/5/20,19,0,0
2/6/20,23,0,0
2/7/20,24,0,1
2/8/20,24,0,1
2/9/20,25,0,3
2/10/20,27,0,3
2/11/20,28,0,3
2/12/20,28,0,7
2/13/20,28,0,7
2/14/20,28,0,7
2/15/20,28,0,9
2/16/20,29,0,9
2/17/20,30,0,10
2/18/20,31,0,12
2/19/20,31,0,12
2/20/20,104,1,16
2/21/20,204,2,16
2/22/20,433,2,18
2/23/20,602,6,18
2/24/20,833,8,22
2/25/20,977,11,22
2/26/20,1261,12,24
2/27/20,1766,13,26
2/28/20,2337,13,22
2/29/20,3150,16,27
3/1/20,3736,18,30
3/2/20,4335,28,30
3/3/20,5186,28,30
3/4/20,5621,35,41
3/5/20,6088,35,41
3/6/20,6593,42,135
3/7/20,7041,44,135
3/8/20,7314,50,118
3/9/20,7478,53,118
3/10/20,7513,54,247
3/11/20,7755,60,288
3/12/20,7869,66,333
3/13/20,7979,66,510
3/14/20,8086,72,510
3/15/20,8162,75,510
3/16/20,8236,75,1137
3/17/20,8320,81,1407
3/18/20,8413,84,1540
3/19/20,8565,91,1540
3/20/20,8652,94,1540
3/21/20,8799,102,1540
3/22/20,8897,104,2909
3/23/20,8961,111,3166
3/24/20,9037,120,3507
3/25/20,9137,126,3730
3/26/20,9241,131,4144
3/27/20,9332,139,4528
3/28/20,9478,144,4811
3/29/20,9583,152,5033
3/30/20,9661,158,5228
3/31/20,9786,162,5408
4/1/20,9887,165,5567
4/2/20,9976,169,5828
4/3/20,10062,174,6021
4/4/20,10156,177,6325
4/5/20,10237,183,6463
4/6/20,10284,186,6598
4/7/20,10331,192,6694
4/8/20,10384,200,6776
4/9/20,10423,204,6973
4/10/20,10450,208,7117
4/11/20,10480,211,7243
4/12/20,10512,214,7368
4/13/20,10537,217,7447
4/14/20,10564,222,7534
4/15/20,10591,225,7616
4/16/20,10613,229,7757
4/17/20,10635,230,7829
4/18/20,10653,232,7937
4/19/20,10661,234,8042
4/20/20,10674,236,8114
4/21/20,10683,237,8213
4/22/20,10694,238,8277
4/23/20,10708,240,8501
4/24/20,10718,240,8635
4/25/20,10728,242,8717
4/26/20,10738,243,8764
4/27/20,10752,244,8854
4/28/20,10761,246,8922
4/29/20,10765,247,9059
4/30/20,10774,248,9072
5/1/20,10780,250,9123
5/2/20,10793,250,9183
5/3/20,10801,252,9217
5/4/20,10804,254,9283
5/5/20,10806,255,9333
5/6/20,10810,256,9419
5/7/20,10822,256,9484
5/8/20,10840,256,9568